channel_id,name,url,subscribers,country,videos,views,status,reject_reason,description
UCMwyCTZyhBQcfjT0ajvA6_Q,Saiyam Jain,https://www.youtube.com/@saiyam.iooooo,23,IN,8,4103,rejected,subscriber_out_of_range,"Welcome to saiyam.io 🚀  This channel is all about AI, futuristic tech, automation, websites, content creation, and making money online using powerful AI tools. "
UCpH_N39eN__pNmua3aZvS2g,Adda247 - ComputeX ,https://www.youtube.com/@adda247_computex,181,,23,10955,rejected,subscriber_out_of_range,"🚀 Welcome to ADDA 247 ComputeX - AI! 🤖 Your one-stop destination for Artificial Intelligence, Real-Time Technology, AI Tools, AI Bots, and the latest Tech Innov"
UCn6trACXmx5_U28OF5VVQzQ,Gabby Bell,https://www.youtube.com/@thegabbybell,353,,609,664041,rejected,subscriber_out_of_range,"journalist 💁‍♀️ facts only, opinion is yours  "
UCDemNMdeu2zjEXWsbP37WRg,Bhasker In AI,https://www.youtube.com/@bhaskerinai,1,,3,538,rejected,subscriber_out_of_range,🚀 AI • Automation • Websites 💡 Practical Tech Solutions 🤖 Prompt Engineering & Chatbots 📚 Learn • Build • Grow 👇 New Videos Every Week
UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,https://www.youtube.com/@reuters,4220000,US,84063,2324897407,rejected,subscriber_out_of_range,"Reuters brings you the latest breaking news, business and finance video from around the world. Since our founding in 1851, we have been known globally for unpar"
UCuFFtHWoLl5fauMMD5Ww2jA,CBC News,https://www.youtube.com/@cbcnews,4680000,CA,46002,3082133195,rejected,subscriber_out_of_range,"As Canada's national public news and information service, the CBC is committed to a set of values that include accuracy, fairness, balance, impartiality and int"
UCkuAAqgLNloEcFgxGXMWdcA,Ansh Sachan,https://www.youtube.com/@anshsachan421,87,IN,43,26662,rejected,subscriber_out_of_range,"I’m Ansh, and this channel is for anyone passionate about coding, curious about AI, or serious about building a future in tech.  My goal is simple: break down c"
UCyaeXIoU42uwU1Y48bMMj3Q,Grow With Mohitmk,https://www.youtube.com/@growwithmohitmk,20,,5,2901,rejected,subscriber_out_of_range,"Learn about the latest AI tools, useful websites, productivity apps, tech hacks, and digital skills through short and easy-to-understand videos.  📌 AI Tools & A"
UCriNJJNZTa3ad9q5CmkZjxQ,Misbah Yaseen,https://www.youtube.com/@misbahyaseen-t3n,4,,16,5438,rejected,subscriber_out_of_range,"Welcome to my channel! Here you’ll find entertaining videos, trending reels, lifestyle content, motivation, and creative ideas. Subscribe and join the journey w"
UCeY0bbntWzzVIaj2z3QigXg,NBC News,https://www.youtube.com/@nbcnews,12000000,,95665,10072332925,rejected,subscriber_out_of_range,"Every day, NBC News helps people understand what’s happening and why it matters — through fact-based reporting, meaningful conversations, and powerful stories. "
UC01k6wuxxuYVQKACKsftK-A,Josh,https://www.youtube.com/@joshoutlit,3,,3,17,rejected,subscriber_out_of_range,https://outlit.ai/
UCID65rcK3PbOIbNKjD6sRTw,NF AI STUDIO ||,https://www.youtube.com/@nfaistudio-o5q,53,IN,30,10032,rejected,subscriber_out_of_range,"Welcome to the world of ai virtual reality!✨ When imagination comes to life! On this channel, you will find entertaining cartoon stories and educational animati"
UCvSi1PYXzwu_tS9vptxcETg,Talking with Tom,https://www.youtube.com/@talkwithtom02,12,,9,3706,rejected,subscriber_out_of_range,
UCQF5FA0pFKE76EVd2s0PJqA,Khabar Point,https://www.youtube.com/@khabarpoint1,722,,1432,534878,rejected,subscriber_out_of_range,please help me reach 1000 subscribers ❤️
UCLFiU106EhSDoFVwujt9Z7Q,Prianci Pkbirand😈,https://www.youtube.com/@priancipkbirand,89,IN,117,61768,rejected,subscriber_out_of_range,hello dosto hamare chenal  mai apka bahut bahut suhagat hai  mai ek chhota sa you tube chenal ko banaya hai ise jayda jayda se pyar or saport kare or subscribe 
UCuW9S8X9HGS8MtrbXZneWng,Rumors ,https://www.youtube.com/@rumorses,105,IN,175,149091,rejected,subscriber_out_of_range,AI Videos
UCoeOtOp4E8ysEqxB3tJyjng,Kensho Media,https://www.youtube.com/@kenshomediaseo,270,GB,62,13968,rejected,subscriber_out_of_range,"Welcome to Kensho Media’s channel.  From operators and affiliates to founders and marketers, this is your source for SEO and content strategies that actually wo"
UCL3wCfgvboGk57SRfZ6GhOg,ANIMALS,https://www.youtube.com/@channelforkidsb,0,,2,17,rejected,subscriber_out_of_range,Welcome to our channel🐶
UC7tGPNE2kGraKNwLPQ7-sTA,sk_aman_17,https://www.youtube.com/@sk_aman_17,38,IN,49,24987,rejected,subscriber_out_of_range,
UCsRzlz03Pdr63f2DhcNuC0g,Vishal Ekka,https://www.youtube.com/@inyourdreams_m26,38,,80,55395,rejected,subscriber_out_of_range,
UCvEG9SeHszr1aiueRPZP3KA,AI Radar,https://www.youtube.com/@airadarchannel,3,,15,6847,rejected,subscriber_out_of_range,"AI tools and hacks to work smarter, not harder."
UC3vQUkhirs-Wd0L4A_Pr48A,GHL Marketer,https://www.youtube.com/@ghlmarketer,466,GB,522,59041,rejected,subscriber_out_of_range,"This channel produces content on GoHighLevel or HighLevel, the all-in-one sales and marketing CRM platform for digital marketing agencies and marketers.   We ar"
UClTI0FY3UVQsAsAK1Cj7gig,StarSide stories,https://www.youtube.com/@starsidestories,28,TR,362,51155,rejected,subscriber_out_of_range,"From abandoned cities to bizarre talents and global mysteries, StarSide Stories brings you captivating tales from the edge of the ordinary. #MysteryShorts #Urba"
UCRqrxG2Y4vCiz_8owRaLU1w,AR BotHub,https://www.youtube.com/@arbothub,11,IN,15,647,rejected,subscriber_out_of_range,"Welcome to AR BotHub 🤖 AI, Tech & Fun — all in one place! Get ready for: ⚡ AI Tools & Tricks 🚀 Tech News & Updates 😂 Funny Memes & Smart Content 🔥 Future Tech V"
UCOeqfOFfe-fyWQMu7F_BQkg,Real Ai Mind,https://www.youtube.com/@realaimind,5,IN,3,188,rejected,subscriber_out_of_range,
UCLaQ0rneogjAQZGeWezChkg,Abbaskhaldd,https://www.youtube.com/@abbaskhaldd,509,,54,329923,rejected,subscriber_out_of_range,صانع محتوى  مهتم في الذكاء الاصطناعي والتقنية  نشر وتبسيط المعلومات المفيدة  التعليم | تقنية | معلومات عامة 
UCjQUEfZSY9wAUE49SpmQNxA,Cerdito Capitalista,https://www.youtube.com/@cerditocapitalista_ok,5,,15,645,rejected,subscriber_out_of_range,
UCUbK8witT09j0LrZXxNRhVg,iTops Labs,https://www.youtube.com/@itopslabs,1,,6,0,rejected,subscriber_out_of_range,"Welcome to iTops Labs! 🚀  Your daily source for the future of tech, AI tools, and game-changing automations. From secret AI cheat codes to the latest innovation"
UCcanZ9i5j94Wtk586Q0KMsw,Abdallah Alhabarneh,https://www.youtube.com/@thehonestabe,60,,19,104343,rejected,subscriber_out_of_range,
UCC9p_q_Vt7UXhDOmm0GNing,ALPHA TECH EDU,https://www.youtube.com/@alphaedu-tech,674,KZ,202,146360,rejected,subscriber_out_of_range,"Добро пожаловать на официальный канал Alpha Education!  Здесь вы найдете лекции, мастер-классы и образовательный контент от ведущих специалистов в сфере IT, диз"
UC1a3McB7qPU3uEUDZCDWayA,MOAI,https://www.youtube.com/@moai-film,20,SG,30,18063,rejected,subscriber_out_of_range,"We create high-converting AI-powered videos for brands, coaches & businesses 🚀 Short-form ads, social content, product videos, explainers & more.  For any enqui"
UCo-PN28ES5I1oirx5R-775g,Prafulla Deori,https://www.youtube.com/@prafulladeori,26,IN,59,7979,rejected,subscriber_out_of_range,"I'm Prafulla Deori — a recruiter from Sibsagar, Assam.  13 years. Adobe. Ericsson. Cloudera. Cradlepoint. Startups across India.  I've hired hundreds of people,"
UCRr9tG_tyNNgWFQxfNUNIHg,Static Snow,https://www.youtube.com/@staticsnowman,16,RS,3,2092,rejected,subscriber_out_of_range,Everything about computers and programming  Business email: contact [at] staticsnow.com 
UCsBEIXga0xdnhGJ318QSmQw,Matt,https://www.youtube.com/@campingandcoding,170,,88,137062,rejected,subscriber_out_of_range,"This channel is a place to talk about things that I enjoy, starting with the Great Outdoors and Computer Science."
UCaPHWiExfUWaKsUtENLCv5w,Business Today,https://www.youtube.com/@businesstoday,3020000,IN,38156,754112841,rejected,subscriber_out_of_range,"Tune in for the latest business news and insights on the Indian economy, stock markets, cryptocurrencies, consumer technology, real estate, bullion, automobiles"
UCZydkJ7PUrJzxdljoIynqPw,YAR_LoveWorld,https://www.youtube.com/@yarfamily27918,165,,236,268406,rejected,subscriber_out_of_range,"Hello all 😍  Welcome to my you tube channel ❤️  YAR_LoveWOrld  I'm here to help you to study smarter,not harder.Here you can see the videos on a variety of topi"
UCNzmmEO1pMit_fc0kCLae3Q,VishalAI Edge,https://www.youtube.com/@vishalaiedge,5,IN,3,152,rejected,subscriber_out_of_range,"Welcome to VishalAI Edge – jahan AI aur Career Growth milte hain! 🤖📈  Agar aap AI Tools, AI News, Career Growth, Productivity Hacks aur Technology ke through ap"
UClbUqz1w3qXA0E8u4q8hWgw,ai futur flow,https://www.youtube.com/@aifuturflow,43,,39,34324,rejected,subscriber_out_of_range,Building the future of voice with @tankots42 and @wisprflow 🎙️ Stop typing. Think faster. Flow better. ⚡ Follow us on Instagram: @tankots42 & @wisprflow Try Wis
UCmYjP4LkPPuDP-p-KBO_XAg,Agentic Amit,https://www.youtube.com/@agenticamit,877,,232,268771,rejected,subscriber_out_of_range,"AI Education with Dr. Amit, PhD! 🤖  https://agenticamit.com https://braindrip.blog "
UCpnoeFBLOmtYaUwg7z4EcHQ,MindBlitz,https://www.youtube.com/@mindbiltz-ai,32,US,31,9545,rejected,subscriber_out_of_range,"Short, explosive facts that blow your mind!   Like and Subscribe!!  "
UCZbJHjIN_Sv9AwlWAwPoIug,Jamie Cohen,https://www.youtube.com/@jamie_cohen,128,,203,59132,rejected,subscriber_out_of_range,Be Curious and Persist
UCJY2JIrkJ4a3lS1OxP-MFDg,AI Agility,https://www.youtube.com/@aiagility,125,US,420,42007,rejected,subscriber_out_of_range,"Welcome to AI Agility - where we transform AI anxiety into career advantage through practical training and real-world strategies.  I'm Matt Zembruski, your AI t"
UCyxNuLVwAO7O_54Appn3Dgg,AI Income Lab,https://www.youtube.com/@aiincomelabus,0,US,4,967,rejected,subscriber_out_of_range,"Welcome to AI Income Lab 🚀 Your ultimate destination for discovering how to make money online using the power of Artificial Intelligence. On this channel, we sh"
UCfqxt_Wqurp9RfIHthRjmOA,Techy_Search,https://www.youtube.com/@techy_search,1,,8,320,rejected,subscriber_out_of_range,"⚡ Tech explained fast. From AI tools and coding tricks to futuristic inventions and viral tech news, we break down complex technology into quick, easy-to-unders"
UCXbDvSs45fGXrn9XsbjEk0g,College Eduventures,https://www.youtube.com/@collegeeduventures,235,IN,849,755207,rejected,subscriber_out_of_range,"College Eduventures is your one-stop destination for Computer Science & Engineering (CSE) learning, smart computer tricks, and brain-boosting content. 🚀  We cre"
UCNADbOXE3ygg58jiKqU2IfA,Tanay Kothari Clips,https://www.youtube.com/@voiceovertype,5,,11,8469,rejected,subscriber_out_of_range,Welcome to your ultimate hub for mastering Wispr Flow and unlocking the future of hyper-efficient digital communication. CRUSRD2B
UCz8QaiQxApLq8sLNcszYyJw,Firstpost,https://www.youtube.com/@firstpost,9560000,IN,87143,5650862770,rejected,subscriber_out_of_range,"At Firstpost, we focus on facts, keep the noise out and bring you stories from across the globe, viewing them through the Indian lens  We break down stories, we"
UCcE6O1pnKfqSZ4fnAP35Xpw,Code Rush,https://www.youtube.com/@coderush_ai,25,SE,996,17603,rejected,subscriber_out_of_range,⚡️ Your daily feed of cutting-edge AI breakthroughs & tech updates.
UCeZ2sk83Q_PdMXgzkOOQGVg,backdraft,https://www.youtube.com/@backdraft-m5s,0,,99,99,rejected,subscriber_out_of_range,Welcome to the channel   Trying to make money online but tired of guessing?  “Learn AI Affiliate Marketing for Beginners | Daily Lead Generation & Simple System
UCSrqEOJzmkM7q6vAnplg15g,Zoey Freelance ,https://www.youtube.com/@zoeyfreelance,0,,2,4,rejected,subscriber_out_of_range,"An AI human who reveals strange facts, mysteries, and unbelievable stories from around the world."
UCGidMHXeqRlZ2HqvtlWbl0w,Priyanka's Future AI,https://www.youtube.com/@priyankafutureai,29,,42,4187,rejected,subscriber_out_of_range,Namaste! Welcome to Priyanka's Future AI 🚀  Yahan milega AI ka pura future - ekdum simple Hindi me!  🎯 Channel par kya milega: ✅ Latest AI Tools ke tutorials - 
UC-1IGbU72nyTf5k7HtLj12Q,TREND BYTE,https://www.youtube.com/@trendbyte-r7b,8,,4,216,rejected,subscriber_out_of_range,"🚀 Welcome to TrendByte!  Stay ahead with the latest updates in AI, Technology, Gadgets, Smartphones, Apps, and Future Innovations.  At TrendByte, we bring you: "
UCBbj5eH7hMgrGEey3w95M4w,RichPulse AI,https://www.youtube.com/@richpulseai,0,US,2,7,rejected,subscriber_out_of_range,RichPulse AI delivers daily AI-powered financial intelligence  for the next generation of investors.  📈 Daily Market Updates | 💰 Investing Strategies |  🤖 AI Fi
UC6IJynH4SuryC8hCxa2CW-A,Leyla Greenhill | Launch Expert ,https://www.youtube.com/@leylagreenhill,328,,119,169346,rejected,subscriber_out_of_range,"I’m Leyla Greenhill — an entrepreneur, founder of Greenhill Media Group - largest backend operating company for your favourite influencers on social media, lead"
UCDKQSoUUNT0VfvzQzP_g7zA,Level Up Daily!,https://www.youtube.com/@thelevelupdaily-improve,45,US,243,88408,rejected,subscriber_out_of_range,"🚀 Unlock Your Daily Potential!  Anime, AI tools, tech tips, and productivity hacks to level up your daily life. New Shorts daily!  🍥 Anime rankings, news & hidd"
UCiM5mF4UrV7v8y7nPEqk2Vg,Headline Shots,https://www.youtube.com/@headlineshots,14,IN,172,48686,rejected,subscriber_out_of_range,"Welcome to Headline Shots — your daily burst of news in under 60 seconds!  We deliver the top trending headlines of the day, covering everything from world even"
UCbfYPyITQ-7l4upoX8nvctg,Two Minute Papers,https://www.youtube.com/@twominutepapers,1820000,HU,1070,166482919,rejected,subscriber_out_of_range,What a time to be alive!
UCCIBqajMPkDhXJTvh7uipsw,Farooq Sheikh,https://www.youtube.com/@farooqsheikh-l2f,10,,15,9400,rejected,subscriber_out_of_range,
UCSZDBXGSxj9sshd3Dhhdmuw,AiToolsDaily,https://www.youtube.com/@aitoolsdaily-p6p,1,,4,165,rejected,subscriber_out_of_range,AI & marketing tools to grow your business
UCakKlydAI-b78Bs-MpavZxg,"Promise & Risk of AI - Risks, Benefits, no Hype",https://www.youtube.com/@promise-and-risk-ai,875,US,63,55660,rejected,subscriber_out_of_range,Every episode follows our Promise & Risk framework: what AI genuinely does well AND where it falls apart. No cheerleading. No doomsaying. Just the truth about t
UCefvcLJCSOPLhRos7kyOlhQ,THE FACT FACTORY,https://www.youtube.com/@thefactfactoryf,793,,11083,762261,rejected,subscriber_out_of_range,"""Welcome to ""THE FACT FACTORY""! Here you will uncover the hidden wonders of the world and the secrets that lie in the most unsuspected corners of reality. We wi"
UCP7aTLMUhjJSa4FX7g_GDOQ,ByteSized Techie.,https://www.youtube.com/@bytesizedbrain18,2,,1,2,rejected,subscriber_out_of_range,
UCVdL4d7w8ed5BaeXwXuAonw,Shaan Stats,https://www.youtube.com/@shaanstats,9,IN,6,1299,rejected,subscriber_out_of_range,"📊 Welcome to Shaan Stats, where numbers tell fascinating stories.  From the rise of AI tools and technology giants to the world's richest people, most subscribe"
UC-kc8w8u8ZECanCksQ6lMIQ,Wealthy Woman consultants,https://www.youtube.com/@wealthywomanconsultants-y2d,6,US,11,199,rejected,subscriber_out_of_range,Welcome to Wealthy Woman Consultants TV—where ambition meets strategy and results become reality. This channel is your go-to destination for mastering the tools
UC6oEU27svkp3DAd-lu5HHCw,USA_CARTOON_CHNNEL,https://www.youtube.com/@usa_cartoon_chnnel,2,,4,2084,rejected,subscriber_out_of_range,
UCpLS72Ufo2a9XR1UtK5_kGA,Farkum Productions,https://www.youtube.com/@farkum8808,19,,16,1579,rejected,subscriber_out_of_range,"When its time to kum, go far.  "
UCbXAv3kLt2eD1ogTvdL0wcQ,SkillsBytebyAleena,https://www.youtube.com/@skillsbytebyaleena,30,,16,2577,rejected,subscriber_out_of_range,"Welcome to SkillsBytebyAleena🚀  A channel where technology, AI, and programming are explained in simple, short, and practical ways. Whether you're a beginner st"
UC1hvd57dAmZeXShhJ-ngoFg,Amplify Imagination,https://www.youtube.com/@amplifyimagination,296,DK,249,74873,rejected,subscriber_out_of_range,"AI news, explained, and built. Amplify Imagination brings you daily 60-second news Shorts covering the latest in artificial intelligence, plus deeper explainers"
UCyHHMZnm3ksKbukwCKInxFg,The Ai Money Desk,https://www.youtube.com/@theaimoneydesk,5,,2,0,rejected,subscriber_out_of_range,we are here to give you all the fresh ai news and updates from claude to gemini and manus and more! let us teach you the tricks of the ever so growing expansive
UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,https://www.youtube.com/@abpnews,50800000,IN,600383,29976182104,rejected,subscriber_out_of_range,"ABP News is one of India’s largest and most credible Hindi news channels, trusted by millions for accurate, fast, and impactful journalism. As part of the ABP N"
UCWl8TRV6IteXF9jBbzH3PBw,Nessa IQ,https://www.youtube.com/@nessaiq,3,US,14,8,rejected,subscriber_out_of_range,
UCBpVFS8VjgDBUPMzV9KExJw,Felix Rau | Crypto & AI,https://www.youtube.com/@felixblockchainn,137,,81,47328,rejected,subscriber_out_of_range,"Welcome to the smarter side of crypto. I’m Felix — a former data analyst from Brooklyn who left the corporate world to build a life around trading, crypto educa"
UCUe5f69i_G99YMb3vjw8kgg,The Agentic Way,https://www.youtube.com/@pablocarcellergonzalez7990,49,,14,687,rejected,subscriber_out_of_range,"Building real AI agents, end to end.  The Agentic Way is a practical channel about designing, building, and running production-ready AI agents with Copilot Stud"
UC60ORrtBjSYi9vsBBFg63WA,The AI Bridge,https://www.youtube.com/@theaibridges,40,,31,22058,rejected,subscriber_out_of_range,"AI is rewriting what one person can do. The people figuring it out early are pulling ahead — at work, in business, on their own projects.   I'm Alex. I run The "
UCYtJICSj6usRZiC_m_B8sEw,techchild,https://www.youtube.com/@techchild-d9z,6,,61,2776,rejected,subscriber_out_of_range,
UCoeJKtPJLoIBqWq4o8TDLpA,Satori Graphics,https://www.youtube.com/@satorigraphics,1580000,GB,1269,93367104,rejected,subscriber_out_of_range,Welcome to Satori Graphics® https://www.youtube.com/c/SatoriGraphics?sub_confirmation=1 This IS the home of graphic design content right here on Youtube. We are
UChRFEojUqUemTaWjFQ46mWg,AI_Frontier,https://www.youtube.com/@ai_frontier-03,24,,5,2470,rejected,subscriber_out_of_range,"🚀 Welcome to Tech Frontier Technology is changing the world faster than ever, and Tech Frontier keeps you ahead of the curve. From groundbreaking AI tools and f"
UC8ysfX7no0QQYlQYsYF0qZw,Katie | Life Hacking with AI,https://www.youtube.com/@katietheorganizedgirl,0,,6,4885,rejected,subscriber_out_of_range,LA  running on caffeine and last minute reminders
UCBnbXlgowYCBnlVfl43yO1g,AI version ,https://www.youtube.com/@nurislam-c7t4h,13,,11,7626,rejected,subscriber_out_of_range,  education is the most powerful weapon which We use to change the world 
UCvgx9m3RguPL69_o0FOmTKw,Times Out,https://www.youtube.com/@timesoutforever,181,US,46,19584,rejected,subscriber_out_of_range,Times Out
