name,url,subscribers,country,videos,views,description
Centro de Innovación de Despachos Profesionales,https://www.youtube.com/@innovaciondespachos,544000,ES,1142,19974350,Videoblog sobre Procesos y Tecnología para Despachos Profesionales presentado por José Pedro Martín Escolar.   El Centro de Innovación de Despachos Profesionale
Brototype Malayalam,https://www.youtube.com/@brototypemalayalam,536000,IN,1056,57211543,Brototype is more than just a YouTube channel. We are South India's top community for aspiring techies looking to learn coding and land their dream IT jobs. Our
Vid Explan,https://www.youtube.com/@videxplan,524000,IN,530,40769721,"HIGGS-PM4JR 𝗛𝗲𝗹𝗹𝗼 Everyone, welcome! For business inq cont. : nextzencreation@gmail.com  VidExplan ID is your go-to source for valuable tips  Our focus on techn"
Learn With Shahzad Ahmad Mirza,https://www.youtube.com/@askshahzadmirza,512000,PK,958,24889332,"Shahzad is a web programmer, graphics designer, Internet marketer, and trainer. During his 2-decade-long period, he was able to train over 10K students to start"
Bloomberg Podcasts,https://www.youtube.com/@bloombergpodcasts,500000,US,30244,132080498,"Bloomberg Podcasts brings you the best video and audio programming from Bloomberg. Watch for news and analysis on the stories making headlines in business, tech"
KSL News Utah,https://www.youtube.com/@kslnews,469000,US,31977,455683939,"News in Utah, from St. George to Logan, Tooele to Moab, we've got you covered! We broadcast from Salt Lake City, Utah.   Stay with us for the latest videos and "
AI Expert,https://www.youtube.com/@aiexpert2,466000,US,88,1996238,"🔍 Welcome to AI Expert! Explore the latest AI tools, tech trends, and smart solutions to boost your productivity and stay ahead in the world of artificial intel"
The Session,https://www.youtube.com/@thesessionca,457000,US,3015,125931642,"Prince Of #AI | Helping Men Escape The Matrix I help people Attract Money Online, Grow Mindset, Manifest $hit.  We Are The Future "
Liqui AI,https://www.youtube.com/@liquiai,431000,US,152,1363473,"Welcome to the ultimate hub for exploring the best AI tools, websites, and platforms — all explained through clear, real-use video demos.  On this channel, we b"
It's all about Ai by Danilo McGarry,https://www.youtube.com/@aimcgarry,420000,GB,308,12552111,"I’ve helped companies generate billions in value using artificial intelligence. What surprised me most wasn’t the technology, but how confusing and intimidating"
IT & Knowledge Sharing,https://www.youtube.com/@itksharing,401000,TH,344,14203712,"""Hi, I'm Kyi from Myanmar, and welcome to my tech channel! I create easy-to-follow tutorial videos on Android phones, computers, apps, and software. Explore my "
André Martin,https://www.youtube.com/@andremartinyt,400000,FR,1121,61964857,"Déjà 2,9 millions sur TikTok et 490 mille sur Instagram ! On continue là-bas ? ➡️ @andremartinyt  partenariat@andremartin.net "
Julian Goldie SEO,https://www.youtube.com/@juliangoldieseo,399000,GB,5801,50501977,"My channel teaches you how to build backlinks, boost your website's traffic with SEO and most importantly, rank #1 on Google.  If you want actionable, easy-to-u"
WiseUp Communications,https://www.youtube.com/@wiseupcommunications,381000,IN,337,25713819,"I am Neha Agrawal, the founder of WiseUp Communications, an online learning platform built around two clear missions for researchers worldwide:  1. We are build"
Andy Stapleton,https://www.youtube.com/@drandystapleton,376000,AU,716,32659504,"I'm Here To Help You Navigate Academia & AI Like a Pro I break down the insider secrets of academia so you can work smarter, publish faster, and stay ahead — wi"
JayDee Milo,https://www.youtube.com/@jaydeemilo,365000,US,1773,480520419,"I grew up as the son of an incredible single mom, Sandi — a woman who survived abuse, fought through impossible odds, and loved with her whole heart. Everything"
Google Cloud,https://www.youtube.com/@googlecloud,348000,US,2207,91831763,"Welcome to Google Cloud. Our goal is to help you build, operate and grow your business. Subscribe to stay up to date with the latest in cloud - whether your bus"
Sam Bentley,https://www.youtube.com/@itssambentley,341000,GB,394,29260896,"Good news and innovative solutions you may not have heard about!  I create accessible videos about positive solutions helping our planet, focusing on climate in"
ai tale toon ,https://www.youtube.com/@aitaletoon,338000,IN,19,166004,"AI is changing content creation forever. AI Tale Toon helps creators stay ahead of the curve.  At AI Tale Toon, we simplify AI and YouTube growth for creators, "
Zach Costello,https://www.youtube.com/@zachcostelloshow,326000,US,981,123721147,🇺🇸 One Nation ✝︎ Under God  Subscribe and Follow Me Here👇🏼 
Damini Tripathi,https://www.youtube.com/@daminitripathi,322000,IN,297,21245509,"Learn Digital Marketing in real and Raw Way!  Damini Tripathi, rocking the digital marketing scene for 5 awesome years. Started from scratch, now running my dig"
DWS News,https://www.youtube.com/@dwsofficial,306000,US,37553,143563369,"Welcome to DWS News – Your Global Lens on Politics & Power.  At DWS News, we bring you sharp, reliable, and timely coverage of international affairs, diplomacy,"
Crypto Dreams,https://www.youtube.com/@crypto.dreams,303000,US,97,3765361,"HIGGS-AROJD ✨ Hello everyone, I'm here to review awesome crypto projects for you! Let me know if you have any suggestions and enjoy the content! ✨

  💫 Watch my"
Short and Clear Excel,https://www.youtube.com/@shortandclearexcel,299000,IN,752,45961093,"500K Subscribers Challenge❣️ Welcome to Short and Clear Excel! Hi, I’m Vishal Aggarwal, a Microsoft Certified Excel Expert and the founder of Short and Clear Ex"
Apple Developer,https://www.youtube.com/@appledeveloper,293000,,1000,14389765,Hello and welcome to the official Apple Developer YouTube channel.
Time and Tide Podcast with Sourav,https://www.youtube.com/@podcasttimeandtide,293000,IN,1235,118669162,"Welcome to Time and Tide, your go-to podcast for insightful discussions on the currents shaping our world.  Dive deep into the ebb and flow of history, culture,"
Sabrina Ramonov 🍄,https://www.youtube.com/@sabrina_ramonov,290000,,1976,17010043,"👇 FREE AI Prompts, Playbooks, & Agents👇  I'm Sabrina Ramonov. I'm on a mission to teach 1 million people AI. I'm also the solo founder of Blotato.com. It's an A"
EWTN News ,https://www.youtube.com/@ewtnnews,286000,US,3982,109484265,"This is the official YouTube channel of EWTN News. We provide reliable, free, up-to-the-minute news affecting the Catholic Church, with a particular emphasis on"
Aism India,https://www.youtube.com/@aismindiia,283000,IN,590,93393929,"Shorts on Stock Market, Finance and Business."
Arsh Goyal,https://www.youtube.com/@arshgoyal,280000,IN,790,21860970,"I am a Senior Software Engineer  , passed out in 2021 from NIT Jalandhar (Gold Medalist)  I have been a Software Engineer Intern at Samsung R&D Institute Bangal"
LOCAL 12,https://www.youtube.com/@local12wkrc,271000,US,75122,254544571,"Local 12, WKRC, Cincinnati, Television "
CryptoWendyO,https://www.youtube.com/@cryptowendyo,270000,US,3278,37798392,"Hi everyone, and welcome to my channel!  Here you will find a wide variety of Crypto interviews, project reviews, discussion pieces, technical analyses, and mar"
Ludo Salenne,https://www.youtube.com/@ludovicsalenne,263000,FR,440,17409967,"Hello c'est Ludo ! Je n'ai pas attendu #ChatGPT pour faire de l'#IA → entrepreneur dans le Digital depuis 2013 (CoupdeVieux 😅), j'ai conseillé et formé 13 000+ "
NothingButTech,https://www.youtube.com/@nbtjacklyn,263000,,666,28083660,"Optimistic Tech Interviews & explainers! Deeply researched and highly energizing:)   I'm 23 years old!   Guest lectured at @Harvard, @MIT, @Cornell & The US Con"
Multiples AI (Tom Granot & Andy Katz),https://www.youtube.com/@withmultiplesai,260000,,92,1359566,We're Tom Granot & Andy Katz from Multiples AI.  Welcome to our channel where we test and break down AI tools and interview the people driving real AI transform
Technical Bilal Jahangir ,https://www.youtube.com/@technicalbilaljahangir,255000,PK,582,13272265,Target 500k Subscribers ❤  Hello Everyone Mera Name Bilal jahangir hai Aur Mere Channel ka Name Technical Bilal Jahangir.   ●YOUTUBE TIPS  ●YOUTUBE AUTOMATION  
The Washington Examiner,https://www.youtube.com/@washingtonexaminer,249000,US,29057,116410646,"Welcome to the Washington Examiner YouTube channel, your go-to source for breaking news, in-depth analysis, and thoughtful commentary on politics! Get the lates"
Roske AI,https://www.youtube.com/@roske-ai,232000,,88,1476621,"My name is Edward Roske and I love to learn things and pass them on.  This is why I've helped write more than 10 books on EPM and Analytics, it's why I've made "
allie_202_,https://www.youtube.com/@allie_202_,231000,US,682,216747896,Donate to 🏳️‍🌈 Rainbow Railroad today! All links are below.  
WorldofAI,https://www.youtube.com/@intheworldofai,224000,CA,1138,24858254,"World of Ai is here to push the creative use of Artificial Intelligence (AI) applications for simple day-to-day tasks!  Here at WOA, you will find tips, tricks,"
ᏗᏝᎥ ᏦᏂᏗᏖᏖᏗᏦ,https://www.youtube.com/@alikhattak5,218000,PK,2425,290252663,"Car repair tips & tricks in short videos. Learn easy DIY car fixes and save money.  Spark plug cleaning Engine coil checking Sensor testing (MAF, MAP, TPS) Brak"
いけともch,https://www.youtube.com/@iketomo-ch,207000,JP,402,14413131,ChatGPTや最新AI・リモートワーク系ツールなど、リモート時代に必要なツール・ノウハウをわかりやすく学べるチャンネルです。ITが苦手な人にも分かりやすく、実践的な解説やノウハウをどんどん出していきますので、ぜひチャンネル登録いただき、一緒に学んでいきましょう！   ■このチャンネルの対象者 ・ChatGPTなどの生
In Depth Tech Reviews,https://www.youtube.com/@idtr,200000,AE,776,42589345,"In-depth reviews for everything tech, software updates, Google apps  updates, smartphone reviews, camera comparisons, virtual assistants comparisons & tips.  Fo"
Saumya Singh,https://www.youtube.com/@saumya1singh,199000,IN,364,11788924,"Saumya Singh – The Engineer Who Codes, Creates, & Conquers! Influencing and educating over 800K+ people across internet.   🔹 Software Engineer | Influencer | Ed"
90 Segundos Noticias,https://www.youtube.com/@90segundosnoticias,198000,CO,16214,113765872,"90 Segundos Noticias es un canal independiente de periodismo digital en Colombia. Somos imparciales, objetivos y honestos en nuestro trabajo: sin prejuicios ni "
KUTV 2 News Salt Lake City,https://www.youtube.com/@kutv2news,197000,US,16423,182238572,"Utah's #1 news station and your source for breaking news, sports, weather and more!"
Тагир Арсланов,https://www.youtube.com/@tagirarslanov,188000,RU,297,54863490,"Подкаст о саморазвитии, психологии, бизнесе, науке и не только. Здесь я говорю с интересными и успешными людьми.   ▶︎ Мой Boosty c эксклюзивным контентом → http"
JOCR,https://www.youtube.com/@jocrtv,185000,DE,533,29309746,Dein JOCR mit allen News rund um Apple.   jocr(at)breezyunited.com  Berlin 
Felicia Simon,https://www.youtube.com/@feliciasimon,181000,DE,750,13584620,"Hey ✌️😀  hier findest Du Infos , Tricks und Anleitungen rund um Online Marketing...dabei gebe ich dir Tipps zu  📲 Instagram 🚀 TikTok 🎥 YouTube 🎬 Content erstell"
Punit Chawla,https://www.youtube.com/@punitchawla,178000,IN,708,16496651,I'm a professional UX/UI Designer from India. I post awesome videos every monday and Thursday on everything design. Subscribe to my channel for videos on UX des
BNN Bloomberg,https://www.youtube.com/@bnnbloomberg,174000,CA,12304,85447763,BNN Bloomberg is Canada's definitive source for business news dedicated exclusively to helping Canadians invest and build their businesses.
Career Talk,https://www.youtube.com/@careertalk,174000,IN,920,24915679,Anand Vaishampayan is an IT Professional with more than 20 years of experience. He is a Toastmaster and winner of several public speaking club level contests. H
Adam.Digital,https://www.youtube.com/@adamdigital,163000,SG,1233,24241218,The Leading Voice in AI Education for Modern Businesses.  We bridge the gap between complex AI technology and practical business growth. Join 2.2 Million+ profe
Código Trading,https://www.youtube.com/@codigotrading,157000,ES,1106,8737294,📊 Aprende a crear tu propio Bot de Trading con Inteligencia Artificial. 🚀 Más de 100.000 alumnos ya lo están aplicando. 👇 Accede aquí a la formación completa y 
AI Learners India,https://www.youtube.com/@ailearnersbyabhijeet,155000,IN,246,7030109,"🔥 AI Agents Kaise Banaye Hindi Mein - No Coding Required! 🔥 Welcome to AI Learners India! I'm Abhijeet Kalamkar, transforming careers through No-Code AI & N8N A"
620 WTMJ,https://www.youtube.com/@620wtmj9,154000,US,8008,149668759,"Wisconsin's Radio Station  620 WTMJ is Wisconsin's news, talk, weather and traffic station and your flagship for the Brewers and Bucks."
AI with Arun Show,https://www.youtube.com/@aiwitharunshow,153000,US,1499,4399591,"At AI with Arun Show, our mission is simple yet powerful — to democratize artificial intelligence and inspire everyone to embrace it. Whether you’re an industry"
Crypto Coin Show,https://www.youtube.com/@cryptocoinshow,149000,,1272,6349153,"At the Crypto Coin Show, we interview investors, startups, and leading minds in the blockchain industries. We've been involved in blockchain since the early day"
ePreneurs حسام الدين حسن,https://www.youtube.com/@epreneurs,143000,SA,1741,13081359,🎙️ أهلًا بيك في قناة Hossamudin Hassan ePreneurs – عالم الذكاء الاصطناعي والتحديثات وأدوات الأتمتة!  قناتي لكل اللي عايز يعرف أكتر عن أدوات وتقنيات الذكاء الاصط
Guardian Australia,https://www.youtube.com/@guardianaustralia,140000,,3882,113426874,The latest news videos from Guardian Australia.  Feedback or complaints: australia.socialmediacomplaints@theguardian.com  Latest news on our website: https://ww
Autoline Network,https://www.youtube.com/@autolinedetroit,138000,US,7142,74292551,"Daily global automotive news. Top auto executive interviews. Automotive insight & analysis. EV, AV & ICE technology, car sales & financial earnings, new car rev"
Mikey No Code,https://www.youtube.com/@mikeynocode,135000,US,120,7002298,"Build Apps & Websites without coding!  My channel is your go-to place for the newest, latest, and best no-code tools to build apps and websites without writing "
The Index Podcast,https://www.youtube.com/@theindexpodcast,128000,US,425,1757383,"Great conversations start here. The Index podcast takes you beyond the code, uncovering the founder stories, strategies, and insights driving the hottest AI, cr"
Kalkine Media,https://www.youtube.com/@kalkine,122000,AU,17356,9191480,"Welcome to Kalkine Media – your destination for expert-led market commentary, ASX insights, business updates, stock analysis & financial literacy content. Subsc"
Brock Mesarich | AI for Non Techies,https://www.youtube.com/@brockmesarich,117000,US,507,8858848,Helping Non-Techies Navigate the World of AI | sponsorships@brockmesarich.com
AI Telugu,https://www.youtube.com/@aitelugu,115000,IN,1390,12707145,"Artificial Intelligence or AI in Telugu.  Artificial Intelligence Free Course, AI interesting Concepts, Machine Learning, Deep Learning, Different types of Mach"
Dan Sfera,https://www.youtube.com/@dansfera,113000,US,10779,6719131,"Text ""guru"" to 855-942-5288.  Business. Clinical Trials. Life Sciences. Biotech. "
Tech Tutorials with Piyush,https://www.youtube.com/@techtutorialswithpiyush,112000,CA,567,7825604,"Welcome to this channel, where you can confidently learn about cloud computing, DevOps, Kubernetes, and the latest IT industry trends. As a technology enthusias"
Supriya Shrinate,https://www.youtube.com/@supriyashrinate,112000,IN,1621,25177739,Break Through The Noise  A channel that cuts through the clutter and makes sense of issues beyond the noise. An objective perspective on matters of national imp
RedGamingTech,https://www.youtube.com/@redgamingtech,110000,GB,10053,61736923,"Focused on PC gaming and hardware, analysis of the latest AMD, Nvidia and Intel graphics cards, processors and other technologies. Benchmarks, reviews and news "
Connect Newsroom,https://www.youtube.com/@connectnewsroom,107000,CA,5892,32280573,Welcome to Connect Newsroom – where news comes alive with vivid stories and insightful discussions. Our channel is your gateway to understanding the latest happ
Future Ready Leadership With Jacob Morgan,https://www.youtube.com/@jacobmorgan,105000,US,2709,6499617,"Work is changing faster than most leaders realize. AI, automation, hybrid work, economic shifts, and rising expectations are transforming jobs, organizations, a"
News 3 Las Vegas,https://www.youtube.com/@news3lasvegas,103000,US,14841,76390679,"News 3 Las Vegas covers news, sports, weather, and traffic for the Las Vegas, Nevada area including Paradise, Spring Valley, Henderson, North Las Vegas, Indian "
Flips4Miles,https://www.youtube.com/@flips4miles,100000,US,2632,10648587,"I’m Miles. I’ve been selling stuff online since 2014 and on Amazon since 2019. Building SellerAmp and Boxem. Flipping stuff changed my life, and it can change y"
Altus AI,https://www.youtube.com/@altusai,99600,US,785,3164880,"Stop doing manual work. Start building intelligent systems.  Welcome to Altus AI. I help agency owners, developers, and entrepreneurs bridge the gap between com"
Royall,https://www.youtube.com/@heyroyall,93300,,499,109341561,I talk about video games im not funny so i script my jokes Creator for Evil Geniuses 
Anil Raju's VFX,https://www.youtube.com/@telugutechsolutions,91800,IN,597,11906558,"Hi Friend's This Is Anil Raju, I Make Best Information & Computer Educational Videos for YouTubers.... my tutorials/videos on Adobe Photoshop, After Effects, pr"
Rising Phoenix,https://www.youtube.com/@estebanlara10,90400,CO,216,18515262," Rising Phoenix is a channel dedicated to self-mastery, transformation, and unlocking your full potential. Just like the mythical phoenix rising from the ashes,"
Sengo Academy,https://www.youtube.com/@sengoacademy,89500,IN,5942,6739270,"Sengo Academy YouTube channel is for all types of competitive exams........... TNPSC like Group 1, Group 2, Group 4, Group 6&8 etc, TRB, TNUSRB-Sub Inspector & "
Discover AI,https://www.youtube.com/@code4ai,89000,AT,1416,6620020,Let's explore the true scientific frontiers of AI. Focusing on the groundbreaking work being done by researchers and innovators across the globe - those applyin
머니네버슬립,https://www.youtube.com/@snowballlabs,87600,KR,1339,16014262,"가장 빠르고 정확하게 미국주식, 미국경제 소식을 정리해드림 🇺🇸  비즈니스/협업 문의 : snowballlabs.official@gmail.com 머니네버슬립의 모든 채널 : https://litt.ly/moneyneversleeps  #머니네버슬립 #미국주식 #주식투자 "
Vedantu Upskill Academy,https://www.youtube.com/@vedantuupskillacademy,86700,IN,315,7008268,"Welcome to Vedantu Upskill Academy — Where Learning Meets Earning!  🔧 We Make Skills, 💰 Skills Make Money.  This is your one-stop destination to power up your c"
peaceful islam,https://www.youtube.com/@islamic-yt05,86200,PK,580,92317547,"Welcome to peaseful islam🌍🔥 Your daily dose of global trending shorts — viral moments, real stories & powerful clips from around the world 🚀  We create 100% ori"
Gulf News Updates,https://www.youtube.com/@gulfnews.updates,84700,PK,3850,78029802,"Gulf News Updates is your go-to platform for the latest Gulf breaking news in Urdu, covering Saudi Arabia, UAE, Kuwait, Qatar, Oman, and Bahrain.  We provide fa"
NEWSGIRLS,https://www.youtube.com/@newsgirls.reports,79200,US,1243,19409715,Follow to stay in the loop ⚡️ By award-winning journalists and bffs Wren Woodson & Mabel Kabani Previously 60 Minutes ⏱️ Venmo: newsgirls  
Peek TV,https://www.youtube.com/@peektvofficial,78200,IN,1208,36803962,"Chronicling real India, one PEEK at a time.   India's first short-form video news network created by two ex-TV journalists.   On a mission to create a generatio"
Sahas Chopra,https://www.youtube.com/@sahaschopra,76700,CA,927,23700982,"Entrepreneur, Creator & Educator"
Mid-Michigan now on FOX66 & NBC25,https://www.youtube.com/@midmichigannow,75300,US,14168,54527354,"Welcome to the YouTube home of Mid-Michigan NOW (NBC25/FOX66). We're your source for local news, weather forecasts, traffic updates, and more for Flint, Saginaw"
Make First Million - Badar Munir,https://www.youtube.com/@makefirstmillion-j1,75000,US,394,4299512,"I help founders and entrepreneurs build and grow their startups using AI. I'm Badar Munir, the founder of Aaghaz.ai. I don’t just talk about tactics. I break do"
DW Shift,https://www.youtube.com/@dwshift,74300,DE,1725,18009102,"Artificial intelligence and cybersecurity, smart appliances and fake news – all of these are profoundly shaping our lives today. How can I use blockchain techno"
Money Degree,https://www.youtube.com/@moneydegree,74100,MK,83,3183402,I’m Money Degree. I share the real knowledge you need to start growing on social media using AI and proven systems that actually work. Everything here is about 
The Political Outlook,https://www.youtube.com/@the_politicaloutlook,72100,PH,4930,30972558,"🎥 The Political Outlook – Your Front Row Seat to Philippine Politics 🇵🇭  Welcome to The Political Outlook, your trusted source for sharp, fearless, and up-to-da"
HPE,https://www.youtube.com/@hpe,72000,US,2423,21750217,"Welcome to the Hewlett Packard Enterprise YouTube channel. HPE is a leader in essential enterprise technology, bringing together the power of AI, cloud, and net"
T A Y Y A B神,https://www.youtube.com/@t_a_y_y_a_b.,71900,IN,119,4638363,"With Great Power Comes Great Responsibility""  For Business:- Sponsor, Paid promotion, Online Casino, Etc Contact Me - tayyabsaifi774@gmail.com "
TV Andi,https://www.youtube.com/@tvandi,68000,ID,2686,17961704,"____  Channel ini merupakan channel resmi Penerbit Andi yang berisi tayangan-tayangan yang bermanfaat bagi kita semua, sekaligus tempat untuk berdiskusi dan bel"
Soch Digital,https://www.youtube.com/@sochdigital,67000,AR,221,11250108,"Subscribe & Support Independent Voices Soch Digital is your go-to digital-first channel where stories meet curiosity, insight, and impact. We create thought-pro"
The AI Learning,https://www.youtube.com/@theailearning,65700,IN,67,3026991,"Welcome to The AI Learning — A creative space where technology meets imagination. We explore the power of Artificial Intelligence, AI Agents, Hyper-Realistic AI"
Thích Rì Viu,https://www.youtube.com/@nickytran1503,65300,VN,1270,117773220,Tổng hợp những kiến thức thú vị 
Wonsulting,https://www.youtube.com/@wonsulting,65100,US,2363,17694067,Hey Underdogs! Thank you for checking out the Wonsulting YouTube Channel.   This channel focuses on giving actionable career advice and tips to help YOU land yo
Roast Maamey,https://www.youtube.com/@roastmaamey,64800,IN,410,76725837, Hello ! Ladies And Gentlemen 🎀 வணக்கம்🙏...   welcome to the world of ROAST MAAMEY!🔥   UNGA SIRIPUKU NANGA GUARANTEE😁...   Intha channela Poda Pora Videokal : L
Anubhav Trainings (official channel),https://www.youtube.com/@anubhavoberoy,64400,IN,1072,7370743,"The channel will help consultants, architects, developers and all technical enthusiasts to learn latest technologies like Business Technology Platform - Develop"
ВНУТРИ СЕБЯ,https://www.youtube.com/@vnutri_,63900,RU,506,5399453,"Всем привет! Меня зовут Анастасия Павлова, я создатель и ведущая этого канала. Здесь мы ведем глубокие разговоры для тех, кто любит размышлять и искать ответы. "
Creator House,https://www.youtube.com/@creatorhouse27,63700,IN,658,4643806,Subscribe for daily entertaining tech videos. Contact:- creatorhouse27@gmail.com Telegram -  https://t.me/creatorshouse27
Capitão Scalercio,https://www.youtube.com/@capitaoscalercio,63300,BR,413,28882813,Fã numero 1 do Atsushi Ohkubo 
PurpleSchool | Anton Larichev,https://www.youtube.com/@purpleschool,61000,RU,1383,16179216,"Обучение программированию от ex-CTO Привет! Меня зовут Антон Ларичев, я основатель школы PurpleSchool, 15 лет в разработке, более 10 лет — в управлении IT‑проек"
DD NEWS Telangana,https://www.youtube.com/@ddnewstelangana,58700,IN,61229,21605865,"Official Youtube Channel of Doordarshan (DD) News Telangana, Hyderabad"
The Serious CTO,https://www.youtube.com/@theseriouscto,58400,CA,569,2848767,"Tired of being the ""go-to firefighter"" who fixes bugs but never gets promoted?  Welcome to The Serious CTO - where tech wisdom meets storytelling so engaging, e"
